iter	RMSE
185	2.22016893
186	2.214897968
187	2.213404631
188	2.212273931
189	2.210547555
190	2.205220861
191	2.203859689
192	2.197937076
193	2.197073695
194	2.19083321
195	2.185488708
196	2.179060393
197	2.177851976
198	2.176331382
199	2.170155689
200	2.169659364
201	2.168364764
202	2.168107482
203	2.163351991
204	2.158791278
205	2.157916682
206	2.153154303
207	2.152391776
208	2.148357337
209	2.143158081
210	2.142367297
211	2.140995796
212	2.136086724
213	2.131201706
214	2.130657286
215	2.126082982
216	2.125681098
217	2.124692227
218	2.123496951
219	2.122724927
220	2.118583631
221	2.117740534
222	2.117058392
223	2.116247259
224	2.115779204
225	2.113735484
226	2.113301521
227	2.108941999
228	2.104830685
229	2.100882548
230	2.09825824
231	2.096149024
232	2.091739386
233	2.09072241
234	2.087747396
235	2.086880633
236	2.082385257
237	2.078633531
238	2.076147822
239	2.070856954
240	2.070357483
241	2.066322465
242	2.062706781
243	2.060169858
244	2.05659845
245	2.053930717
246	2.051727235
247	2.049796992
248	2.048852084
249	2.048441465
250	2.04666694
251	2.044721102
252	2.04257319
253	2.038496267
254	2.034707606
255	2.031271115
256	2.028896805
257	2.026884919
258	2.023549426
259	2.0217343
260	2.018413835
261	2.015009963
262	2.011643886
263	2.008476962
264	2.006903918
265	2.004657875
266	2.001423025
267	1.998069723
268	1.997607019
269	1.996849199
270	1.99503749
271	1.992906072
272	1.990839993
273	1.987209362
274	1.984258194
275	1.982165119
276	1.979127073
277	1.978245717
278	1.975255138
279	1.972263045
280	1.969438354
281	1.967241214
282	1.963918004
283	1.962436334
284	1.959710275
285	1.958895347
286	1.956165999
287	1.953520599
288	1.951677413
289	1.949029354
290	1.948168454
291	1.947094639
292	1.944428309
293	1.943730553
294	1.941145169
295	1.939216164
296	1.939136972
297	1.938258266
298	1.937921869
299	1.935296018
300	1.934136041
301	1.93336171
302	1.930862139
303	1.927809246
304	1.925701258
305	1.925495413
306	1.923684893
307	1.921269175
308	1.919391193
309	1.917072557
310	1.914731461
311	1.912150419
312	1.91102959
313	1.909607054
314	1.907364313
315	1.906772705
316	1.905206739
317	1.904609484
318	1.903318384
319	1.902123061
320	1.901230746
321	1.899013198
322	1.898669349
323	1.898149574
324	1.897632169
325	1.896475047
326	1.896125705
327	1.894157034
328	1.893411151
329	1.891173871
330	1.890707529
331	1.889109626
332	1.886959281
333	1.886015411
334	1.885143687
335	1.88286156
336	1.880732306
337	1.879154301
338	1.876982085
339	1.875252893
340	1.873396522
341	1.871226668
342	1.867979262
343	1.865928402
344	1.863776311
345	1.863389966
346	1.86170722
347	1.860977953
348	1.860179684
349	1.85812866
350	1.85794157
351	1.856814558
352	1.85504248
353	1.852955495
354	1.850560464
355	1.849694987
356	1.848133093
357	1.846582754
358	1.844648378
359	1.843245241
360	1.842179246
361	1.84036099
362	1.838648334
363	1.836662205
364	1.835197774
365	1.834807965
366	1.833302196
367	1.832684351
368	1.830668488
369	1.829707204
370	1.82870148
371	1.826846979
372	1.826247337
373	1.824522887
374	1.82383535
375	1.82207914
376	1.821098151
377	1.820107563
378	1.818215808
379	1.817068522
380	1.814833081
381	1.814533979
382	1.813858717
383	1.813201026
384	1.81206465
385	1.811677959
386	1.810128636
387	1.808791363
388	1.808397954
389	1.80747209
390	1.806360852
391	1.804333424
392	1.802839276
393	1.801012482
394	1.799327654
395	1.797530075
396	1.796215378
397	1.794396579
398	1.792349881
399	1.790609097
400	1.789784598
401	1.787922497
402	1.787868558
403	1.786960678
404	1.785982514
405	1.785188362
406	1.783790734
407	1.783415319
408	1.782819153
409	1.781014934
410	1.779265049
411	1.778680869
412	1.777056946
413	1.776164193
414	1.773731968
415	1.772456577
416	1.771830844
417	1.770067003
418	1.768720882
419	1.767237831
420	1.766691439
421	1.766433605
422	1.765191649
423	1.76317246
424	1.762496025
425	1.761906895
426	1.76017708
427	1.759486327
428	1.758244671
429	1.756511307
430	1.754809833
431	1.753364931
432	1.75301485
433	1.751766613
434	1.750085313
435	1.749037124
436	1.747353497
437	1.746780268
438	1.744846872
439	1.74435088
440	1.742695582
441	1.741155739
442	1.739822394
443	1.738319798
444	1.736253211
445	1.734707693
446	1.73440931
447	1.732836723
448	1.731085479
449	1.73083979
450	1.728969346
451	1.727740861
452	1.726967354
453	1.725493078
454	1.723999248
455	1.722569914
456	1.722018658
457	1.72056584
458	1.719038779
459	1.718551919
460	1.71790322
461	1.716297398
462	1.716024449
463	1.715637481
464	1.713980536
465	1.712330734
466	1.711805591
467	1.71043766
468	1.70854294
469	1.706858794
470	1.705460123
471	1.704545591
472	1.70367377
473	1.702002477
474	1.700628845
475	1.699378567
476	1.699109373
477	1.698968417
478	1.697615168
479	1.696174663
480	1.694733676
481	1.694316358
482	1.693436897
483	1.692487725
484	1.690789737
485	1.689201348
486	1.689164338
487	1.68825007
488	1.686958374
489	1.686113057
490	1.684804306
491	1.684505587
492	1.682965369
493	1.681363617
494	1.681046885
495	1.679994006
496	1.679581441
497	1.67810341
498	1.677709636
499	1.676221443
500	1.674036603
501	1.673430064
502	1.672223357
503	1.670962545
504	1.669451606
505	1.668121779
506	1.666926545
507	1.665711764
508	1.6646759
509	1.663847735
510	1.662775483
511	1.662523977
512	1.661860852
513	1.661363456
514	1.661052337
515	1.660706596
516	1.659225636
517	1.65899298
518	1.657695037
519	1.656521435
520	1.655123106
521	1.654204911
522	1.653063823
523	1.652906511
524	1.652092479
525	1.650638748
526	1.649751482
527	1.648787927
528	1.647321438
529	1.646533618
530	1.645398138
531	1.643873007
532	1.64292717
533	1.64146282
534	1.640353005
535	1.639666634
536	1.639518159
537	1.638011217
538	1.637195643
539	1.636427249
540	1.636001558
541	1.63594662
542	1.635190407
543	1.63472512
544	1.63327669
545	1.632700328
546	1.631601477
547	1.630478183
548	1.629709997
549	1.628621692
550	1.627222285
551	1.626201364
552	1.625350758
553	1.624599327
554	1.623221325
555	1.622066389
556	1.620738281
557	1.620294585
558	1.61977716
559	1.619169038
560	1.618119446
561	1.617395311
562	1.61675842
563	1.616121954
564	1.615655075
565	1.614621881
566	1.614093182
567	1.613823387
568	1.613231462
569	1.613068518
570	1.61212446
571	1.61145997
572	1.611092582
573	1.610040214
574	1.608152429
575	1.607886451
576	1.606873711
577	1.606639538
578	1.605162407
579	1.605127779
580	1.604901139
581	1.603133517
582	1.602127183
583	1.601983029
584	1.601025411
585	1.600571691
586	1.600040311
587	1.598887906
588	1.597623001
589	1.596681603
590	1.596543136
591	1.59528075
592	1.593934495
593	1.593132873
594	1.592947687
595	1.591731828
596	1.590589209
597	1.590231435
598	1.589423813
599	1.588460331
600	1.587254384
601	1.586968997
602	1.586386335
603	1.586021349
604	1.584987883
605	1.583878293
606	1.582720522
607	1.582035799
608	1.580913752
609	1.579902262
610	1.578964134
611	1.577993793
612	1.577640764
613	1.576171944
614	1.575249587
615	1.574263767
616	1.572468808
617	1.572231851
618	1.571317156
619	1.570343855
620	1.569496098
621	1.56912324
622	1.569073926
623	1.567835081
624	1.566939747
625	1.566065554
626	1.56530673
627	1.564826345
628	1.564620948
629	1.563511475
630	1.563296252
631	1.56197268
632	1.561018688
633	1.559950756
634	1.558622445
635	1.558130682
636	1.557426188
637	1.557302797
638	1.556585026
639	1.555700588
640	1.55424009
641	1.554167357
642	1.553744312
643	1.552872807
644	1.552029231
645	1.551160196
646	1.551044528
647	1.550099685
648	1.549107252
649	1.547553955
650	1.547065233
651	1.545348582
652	1.544946293
653	1.54471101
654	1.544680284
655	1.543508581
656	1.542120462
657	1.541082
658	1.540495893
659	1.539882703
660	1.539283244
661	1.53872038
662	1.537849011
663	1.537238086
664	1.537012933
665	1.536190647
666	1.535740738
667	1.535615164
668	1.535134481
669	1.534201001
670	1.533210787
671	1.532287828
672	1.530927352
673	1.530094202
674	1.529680657
675	1.528710537
676	1.528222927
677	1.528104431
678	1.527522271
679	1.527459905
680	1.526917776
681	1.526290433
682	1.525533165
683	1.524594932
684	1.523799239
685	1.522891188
686	1.522299156
687	1.522071097
688	1.52182999
689	1.520736049
690	1.519942198
691	1.518711613
692	1.517436023
693	1.516713359
694	1.516105087
695	1.515130802
696	1.514348692
697	1.514181928
698	1.513258621
699	1.512434304
700	1.511860397
701	1.511663823
702	1.510836069
703	1.509935752
704	1.50927726
705	1.508764218
706	1.507882874
707	1.506668956
708	1.506292396
709	1.505802644
710	1.505476535
711	1.5047915
712	1.50403371
713	1.502827224
714	1.501819319
715	1.501244747
716	1.500985988
717	1.499460012
718	1.498556129
719	1.498059807
720	1.496524116
721	1.495780147
722	1.495252422
723	1.494411197
724	1.494022215
725	1.493305495
726	1.492274574
727	1.492197921
728	1.491859642
729	1.491104145
730	1.490963334
731	1.490930172
732	1.490040216
733	1.488064562
734	1.487334887
735	1.486899156
736	1.486783961
737	1.486432399
738	1.485660833
739	1.485546809
740	1.484813066
741	1.484782289
742	1.482762294
743	1.480864849
744	1.480006694
745	1.479752602
746	1.479589692
747	1.478765671
748	1.477958131
749	1.477550435
750	1.4765543
751	1.475755994
752	1.475145225
753	1.474356845
754	1.473511588
755	1.472802825
756	1.472233052
757	1.4715587
758	1.47102158
759	1.470539654
760	1.469782743
761	1.469616667
762	1.468801207
763	1.468056265
764	1.467644858
765	1.466958419
766	1.466854378
767	1.466304396
768	1.465926498
769	1.46528335
770	1.464924921
771	1.464610803
772	1.464506174
773	1.463835586
774	1.463182412
775	1.462347209
776	1.46170412
777	1.461677617
778	1.460614404
779	1.459923187
780	1.459190908
781	1.45838452
782	1.457398545
783	1.456860374
784	1.456131609
785	1.454920782
786	1.453909428
787	1.453177651
788	1.453061806
789	1.452282555
790	1.451504758
791	1.451088141
792	1.450207375
793	1.449128002
794	1.448769544
795	1.448137332
796	1.446789814
797	1.445776206
798	1.445634474
799	1.44507275
800	1.444518124
801	1.443879094
802	1.443782472
803	1.442221171
804	1.441074825
805	1.440353192
806	1.43964946
807	1.438962374
808	1.438759497
809	1.438172221
810	1.437579822
811	1.436439431
812	1.435751762
813	1.434692941
814	1.434334157
815	1.432569104
816	1.432343046
817	1.430595468
818	1.429843364
819	1.429485555
820	1.427440963
821	1.425718825
822	1.42544905
823	1.424480444
824	1.424150572
825	1.423520201
826	1.423137163
827	1.422743853
828	1.422151596
829	1.421396205
830	1.421290484
831	1.420690856
832	1.420163598
833	1.419761332
834	1.419238176
835	1.418876274
836	1.418823385
837	1.418759606
838	1.417762575
839	1.416174693
840	1.415460035
841	1.414922006
842	1.414408156
843	1.414138565
844	1.414026738
845	1.413714695
846	1.413103229
847	1.412542338
848	1.412075631
849	1.412009247
850	1.41164456
851	1.411394929
852	1.41087575
853	1.410267224
854	1.409632156
855	1.409357283
856	1.40869104
857	1.40855381
858	1.408003008
859	1.407946414
860	1.406707984
861	1.406434067
862	1.406251627
863	1.405966029
864	1.40527018
865	1.405093056
866	1.404442331
867	1.404289304
868	1.403603086
869	1.402965234
870	1.402235035
871	1.401566357
872	1.400939086
873	1.400849822
874	1.399965515
875	1.399541018
876	1.398716458
877	1.398501406
878	1.39820322
879	1.397874246
880	1.396958434
881	1.396500959
882	1.395695233
883	1.395640635
884	1.395299431
885	1.394718896
886	1.393767967
887	1.392423849
888	1.391816961
889	1.391526906
890	1.391270031
891	1.39087721
892	1.390513619
893	1.390139134
894	1.389926394
895	1.389674403
896	1.38954776
897	1.388054681
898	1.387877157
899	1.387729098
900	1.387155641
901	1.386225721
902	1.385791307
903	1.385545854
904	1.385299171
905	1.384754792
906	1.383955166
907	1.383639909
908	1.383161323
909	1.382972213
910	1.382234293
911	1.38115849
912	1.380642185
913	1.380087655
914	1.379523798
915	1.378979516
916	1.378111393
917	1.377592867
918	1.376741166
919	1.376562528
920	1.376293661
921	1.376213703
922	1.376037529
923	1.37553282
924	1.374887165
925	1.374585233
926	1.373875075
927	1.373395778
928	1.373046177
929	1.372821776
930	1.372757132
931	1.372665151
932	1.371888331
933	1.371484937
934	1.371010217
935	1.370529338
936	1.370068481
937	1.369569309
938	1.369234928
939	1.368828785
940	1.368548187
941	1.368438593
942	1.367750123
943	1.367442533
944	1.367012474
945	1.366563619
946	1.365979115
947	1.365538869
948	1.365320096
949	1.365155356
950	1.364789541
951	1.364084479
952	1.364044053
953	1.363527826
954	1.363001597
955	1.362771369
956	1.362397822
957	1.362123839
958	1.361516205
959	1.36072074
960	1.359910114
961	1.359174495
962	1.358885942
963	1.358039456
964	1.357875906
965	1.357518462
966	1.356504933
967	1.355619521
968	1.354783096
969	1.354278045
970	1.353870761
971	1.353375156
972	1.353301669
973	1.352728531
974	1.352113031
975	1.351631724
976	1.351612259
977	1.351385689
978	1.350558309
979	1.349843125
980	1.349484647
981	1.34891538
982	1.348768403
983	1.348413693
984	1.348199552
985	1.348107864
986	1.347894891
987	1.347099858
988	1.345317486
989	1.344144304
990	1.342770033
991	1.342411239
992	1.341831299
993	1.341048023
994	1.34089833
995	1.340755827
996	1.340271667
997	1.339588504
998	1.338290728
999	1.338052733
