iter	RMSE
0	2.922832245
1	2.905311574
2	2.895015783
3	2.885551387
4	2.871544266
5	2.862357645
6	2.851125542
7	2.841120657
8	2.829579196
9	2.821290298
10	2.812061381
11	2.804457162
12	2.795949705
13	2.782490348
14	2.773315958
15	2.764867522
16	2.757810852
17	2.752936913
18	2.741938406
19	2.731791677
20	2.726100807
21	2.720255527
22	2.707184793
23	2.700542622
24	2.694265511
25	2.688311409
26	2.685233123
27	2.677878689
28	2.666418935
29	2.661875753
30	2.652197286
31	2.647677488
32	2.641585879
33	2.636099039
34	2.630131385
35	2.627224913
36	2.623323023
37	2.620599276
38	2.616051833
39	2.612659336
40	2.609270626
41	2.60716654
42	2.603800712
43	2.595601691
44	2.591169357
45	2.588366226
46	2.586193629
47	2.583638774
48	2.58039192
49	2.577106214
50	2.573897762
51	2.571379495
52	2.570018305
53	2.567919265
54	2.565702481
55	2.563666843
56	2.561654822
57	2.556397357
58	2.547992858
59	2.544985476
60	2.542257258
61	2.539580244
62	2.538238246
63	2.536415053
64	2.535066493
65	2.533259428
66	2.524883736
67	2.524346643
68	2.516448092
69	2.514987236
70	2.513393401
71	2.511502264
72	2.509627113
73	2.508566285
74	2.507359401
75	2.506007587
76	2.503977573
77	2.501445148
78	2.49303143
79	2.484633554
80	2.481227291
81	2.481048691
82	2.478404087
83	2.476147255
84	2.475529163
85	2.474582341
86	2.471523889
87	2.468804112
88	2.467693714
89	2.46445593
90	2.463124039
91	2.458132483
92	2.450839426
93	2.450109583
94	2.448847725
95	2.441143326
96	2.439947338
97	2.437230112
98	2.436372505
99	2.434459935
100	2.433246099
101	2.431612906
102	2.430206659
103	2.429479126
104	2.427946629
105	2.425480629
106	2.42476045
107	2.423627268
108	2.422525781
109	2.420476182
110	2.419123582
111	2.415171419
112	2.407402938
113	2.407233138
114	2.4005981
115	2.398304447
116	2.391165428
117	2.388900551
118	2.380796854
119	2.374946332
120	2.367717439
121	2.365155333
122	2.361892191
123	2.360765204
124	2.359305076
125	2.358111254
126	2.357447083
127	2.356341941
128	2.354145456
129	2.353527408
130	2.353023641
131	2.35132613
132	2.350479035
133	2.349212024
134	2.34889167
135	2.348011924
136	2.346345957
137	2.345104375
138	2.343384664
139	2.342101041
140	2.341641926
141	2.340678296
142	2.339917942
143	2.33807463
144	2.335562137
145	2.334250861
146	2.333256715
147	2.326791454
148	2.325899912
149	2.319409588
150	2.318048839
151	2.31164655
152	2.311075335
153	2.304943191
154	2.304044717
155	2.303749766
156	2.302563446
157	2.301822401
158	2.295869346
159	2.294629361
160	2.294013906
161	2.291976091
162	2.29120954
163	2.29040266
164	2.283603232
165	2.282996159
166	2.278592397
167	2.277866878
168	2.276686362
169	2.275575362
170	2.272746729
171	2.271994383
172	2.269963797
173	2.264278461
174	2.263110557
175	2.256852004
176	2.255336706
177	2.249809944
178	2.248891992
179	2.242783404
180	2.236666374
181	2.234504703
182	2.229097187
183	2.227559308
184	2.226129692
